epsilon,OOS_SAA,OOS_DRO,pct_gain
0.0001,-0.008792344209963936,-0.008796470732011369,0.04693312669398001
0.0001438449888287663,-0.008792344209963936,-0.008796470732524663,0.046933132531948314
0.00020691380811147902,-0.008792344209963936,-0.008794030361888708,0.01917750129551665
0.00029763514416313193,-0.008792344209963936,-0.00879392941603013,0.01802939043716366
0.00042813323987193956,-0.008792344209963936,-0.008794429576973418,0.02371798646280495
0.0006158482110660267,-0.008792344209963936,-0.008809982350560738,0.2006079399941314
0.0008858667904100823,-0.008792344209963936,-0.008818716498997108,0.29994604855535756
0.0012742749857031334,-0.008792344209963936,-0.00882148978450829,0.3314880974669424
0.0018329807108324356,-0.008792344209963936,-0.008874260221555075,0.9316743024949782
0.0026366508987303583,-0.008792344209963936,-0.008939646934877199,1.6753521176563162
0.00379269019073225,-0.008792344209963936,-0.00901741259380943,2.559822255257417
0.005455594781168515,-0.008792344209963936,-0.009106002375996985,3.5674008949467226
0.007847599703514606,-0.008792344209963936,-0.009188742242451748,4.508445336325589
0.011288378916846883,-0.008792344209963936,-0.009343966015115184,6.273887736630261
0.01623776739188721,-0.008792344209963936,-0.009511831966892141,8.183116353802948
0.023357214690901212,-0.008792344209963936,-0.009632216984818621,9.552319094865496
0.03359818286283781,-0.008792344209963936,-0.00974799639153998,10.869139773816515
0.04832930238571752,-0.008792344209963936,-0.009811639094663564,11.592982034808317
0.06951927961775606,-0.008792344209963936,-0.009884015073088857,12.416152473737144
0.1,-0.008792344209963936,-0.009932641784217565,12.969209883314003
